Year (yyyy),Month (MON),Vessel,Contributor,Subarea,Survey name,Density estimate (g m-2),CV of density estimate (%),CV estimation method,Survey area (km2),Echosounder model,Frequency used for biomass estimate (kHz),Other frequencies available,Method used for target identification,dB-difference window,TS model used,Depth range integrated (m),Time of day sampled ,Stratum name,Survey design description,Reference,Note,empty1,sourceexl,Net,Tow design,ASAM_NOTES
2008,Apr,RRS James Clark Ross,UK,48.3,POETS-WCB JR186,25.9,44.7,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,,,"Fielding S., Watkins, J.L., Trathan, P., Enderlein, P., Waluda, C., Stowasser G., Tarling G.A., Murphy E.J. (2014) Inter-annual variability in Antarctic krill (Euphausia superba) density at South Georgia, Southern Ocean: 1997 – 2012. ICES Journal of Marine Sciences. doi:10.1093/icesjms/fsu104",GBR,,,
2009,Jan,RRS James Clark Ross,UK,48.3,POETS-WCB JR188,28.8,11.8,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,,,GBR,,,
2009,Dec,RRS James Clark Ross,UK,48.3,POETS-WCB JR228,15,26,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,,Fielding S. (2018) Comparing two and three frequency dB window identification techniques for estimating Antarctic krill density. SG-ASAM-18/01,GBR,,,
2010,Dec,RRS James Clark Ross,UK,48.3,POETS-WCB JR245,59,46.6,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,,,GBR,,,
2012,Jan,RRS James Clark Ross,UK,48.3,POETS-WCB JR260,90.1,46.2,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,,,GBR,,,
2012,Dec,RRS James Clark Ross,UK,48.3,POETS-WCB JR280,61.8,39.1,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,,,GBR,,,
2013,Dec,RRS James Clark Ross,UK,48.3,POETS-WCB JR291,31.2,29.8,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding et al. 2014,,,GBR,,,
2014,Dec,RRS James Clark Ross,UK,48.3,POETS-WCB JR304,25.4,25.6,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding 2018,,,GBR,,,
2015,Dec,RRS James Clark Ross,UK,48.3,POETS-WCB JR15002,45.2,41.7,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding 2018,,,GBR,,,
2016,Dec,RRS James Clark Ross,UK,48.3,POETS-WCB JR16003,29.2,18.5,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Fielding 2018,,,GBR,,,
2018,Jan,RRS James Clark Ross,UK,48.3,POETS-WCB JR17002,24.8,86.1,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Ratcliffe et al. prep,,,GBR,,,
2019,Jan,RRS Discovery,UK,48.3,POETS-WCB DY098,21.2,26.1,Jolly and Hampton,10640,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,WCB,Parallel transects,Ratcliffe et al. prep,,,GBR,,,
1982,Nov,RRS John Biscoe,UK,48.3,JB03,11.7,9.5,,,EKS120 QM,120,,All signal,,Greene et al. 1991,,daylight only,South Georgia,Radial transects,Brierley et al. 1999,,,GBR,,,
1986,Dec,RRS John Biscoe,UK,48.3,JB06,29.7,47.2,Jolly and Hampton,,EK400 QD,120,,Visual,,Greene et al. 1991,,daylight only,South Georgia,Parallel transects,Brierley et al. 1999,,,GBR,,,
1990,Jan,RRS John Biscoe,UK,48.3,JB10,45.1,44,Jolly and Hampton,,EK400 ESP,120,,Visual,,Greene et al. 1991,,daylight only,South Georgia,Parallel transects,Brierley et al. 1999,,,GBR,,,
1990,Feb,RRS John Biscoe,UK,48.3,JB10,75.1,21,Jolly and Hampton,,EK400 ESP,120,,Visual,,Greene et al. 1991,,daylight only,South Georgia,Parallel transects,Brierley et al. 1999,,"Brierley, A.S., Watkins, J.L., Goss, C., Wilkinson, M.T. and Everson, I. (1999) Acoustic estimates of krill density at South Georgia, 1981 to 1998. CCAMLR Science, 6: 47-57.",GBR,,,
1991,Jan,RRS John Biscoe,UK,48.3,JB11,6.4,53.2,Jolly and Hampton,,EK400 ESP,120,,Visual,,Greene et al. 1991,,daylight only,South Georgia,Parallel transects,Brierley et al. 1999,,,GBR,,,
1992,Jan,,UK,48.3,Fish survey,95,15,Jolly and Hampton,,EK400 ESP,120,,dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,South Georgia,,Brierley et al. 1999,,,GBR,,,
1993,Jan,RRS James Clark Ross,UK,48.3,JR03,65.8,34.6,Jolly and Hampton,,EK500,120,,Visual,,Greene et al. 1991,,daylight only,South Georgia,Parallel transects,Brierley et al. 1999,,,GBR,,,
1994,Jan,RRS James Clark Ross,UK,48.3,JR06,7.4,15.5,Jolly and Hampton,,EK500,120,38,dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,South Georgia,Parallel transects,Brierley et al. 1999,,,GBR,,,
1994,Jan,RRS James Clark Ross,UK,48.3,JR06,1.9,20.3,Jolly and Hampton,,EK500,120,38,dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,South Georgia,Parallel transects,Brierley et al. 1999,,,GBR,,,
1996,Jan,RRS James Clark Ross,UK,48.3,JR11,26.7,28.8,Jolly and Hampton,8000,EK500,120,38,dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,WCB,Parallel transects,Brierley et al. 1999,,,GBR,,,
1996,Jan,RRS James Clark Ross,UK,48.3,JR11,40.6,9,Jolly and Hampton,8000,EK500,120,38,dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,ECB,Parallel transects,Brierley et al. 1999,,,GBR,,,
1996,Dec,RRS James Clark Ross,UK,48.3,JR17,25.2,17.1,Jolly and Hampton,8000,EK500,120,"38, 200",dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,WCB,Parallel transects,Brierley et al. 1999,,,GBR,,,
1996,Dec,RRS James Clark Ross,UK,48.3,JR17,54.7,11.1,Jolly and Hampton,8000,EK500,120,"38, 200",dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,ECB,Parallel transects,Brierley et al. 1999,,,GBR,,,
1998,Jan,RRS James Clark Ross,UK,48.3,JR28,21.4,19.8,Jolly and Hampton,8000,EK500,120,"38, 200",dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,WCB,Parallel transects,Brierley et al. 1999,,,GBR,,,
1998,Jan,RRS James Clark Ross,UK,48.3,JR28,151,19.6,Jolly and Hampton,8000,EK500,120,"38, 200",dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,ECB,Parallel transects,Brierley et al. 1999,,,GBR,,,
2000,Dec,RRS James Clark Ross,UK,48.3,,3.5,65.6,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,WCB,Parallel transects,Brierley et al. 2002,"Brierley AS, Goss C, Grant SA, Watkins JA, Reid K, Belchier M, Everson I, Jessop MJ, Afanasyev V, Robst J. 2002 CCAMLR Science 9: 71-82",,GBR,,,
2000,Dec,RRS James Clark Ross,UK,48.3,,34.7,30.7,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,WCB,Parallel transects,Brierley et al. 2002,"Brierley AS, Goss C, Grant SA, Watkins JA, Reid K, Belchier M, Everson I, Jessop MJ, Afanasyev V, Robst J. 2002 CCAMLR Science 9: 71-82",,GBR,,,
2001,Jan,RRS James Clark Ross,UK,48.3,JR57,51.6,33.5,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,WCB,Parallel transects,Brierley et al. 2002,"Brierley AS, Goss C, Grant SA, Watkins JA, Reid K, Belchier M, Everson I, Jessop MJ, Afanasyev V, Robst J. 2002 CCAMLR Science 9: 71-82",,GBR,,,
2001,Jan,RRS James Clark Ross,UK,48.3,JR57,47.2,26.5,Jolly and Hampton,5332.8,EK500,120,"38, 200",dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,South Georgia,Parallel transects,Brierley et al. 2002,"Brierley AS, Goss C, Grant SA, Watkins JA, Reid K, Belchier M, Everson I, Jessop MJ, Afanasyev V, Robst J. 2002 CCAMLR Science 9: 71-82",,GBR,,,
2001,Jan,RRS James Clark Ross,UK,48.3,JR57,80.4,43.6,Jolly and Hampton,7066.4,EK500,120,"38, 200",dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,ECB,Parallel transects,Brierley et al. 2002,"Brierley AS, Goss C, Grant SA, Watkins JA, Reid K, Belchier M, Everson I, Jessop MJ, Afanasyev V, Robst J. 2002 CCAMLR Science 9: 71-82",,GBR,,,
2001,Jan,RRS James Clark Ross,UK,48.3,JR57,32.1,63.6,Jolly and Hampton,5332.8,EK500,120,"38, 200",dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,South Georgia,Parallel transects,Brierley et al. 2002,"Brierley AS, Goss C, Grant SA, Watkins JA, Reid K, Belchier M, Everson I, Jessop MJ, Afanasyev V, Robst J. 2002 CCAMLR Science 9: 71-82",,GBR,,,
2001,Mar,RRS James Clark Ross,UK,48.3,,7.8,68.1,Jolly and Hampton,10640,EK500,120,"38, 200",dB difference (120-38),Fixed (2-12),Greene et al. 1991,,daylight only,WCB,Parallel transects,Brierley et al. 2002,"Brierley AS, Goss C, Grant SA, Watkins JA, Reid K, Belchier M, Everson I, Jessop MJ, Afanasyev V, Robst J. 2002 CCAMLR Science 9: 71-82",,GBR,,,
2013,Dec,F/V Fu Rong Hai,China,48.1,S481FRH2013-14,20.22,22.91,Jolly and Hampton,,EK60,120,"38, 70",Swarms identification,fixed (-20 to 20),full SDWBA (ASAM 2010 parameterisation),250,day and night,South Shetland Islands,Parallel transects,"Yu et al.,2019",dB-difference window was applied to the detected aggregations  following the swarm-based identification method template by SG-ASAM 2017,,CHN,,,
2015,Mar,F/V Fu Rong Hai,China,48.1,S481FRH2014-15,20.57,28.53,Jolly and Hampton,,EK60,120,"38, 70",Swarms identification,fixed (-20 to 20),full SDWBA (ASAM 2010 parameterisation),250,day and night,South Shetland Islands,Parallel transects,"Yu et al.,2019",,,CHN,,,
2016,Jan,F/V Fu Rong Hai,China,48.1,S481FRH2015-16,41.47,18.9,Jolly and Hampton,,EK60,120,"38, 70",Swarms identification,fixed (-20 to 20),full SDWBA (ASAM 2010 parameterisation),250,day and night,South Shetland Islands,Parallel transects,"Yu et al.,2019",,,CHN,,,
2018,Feb,F/V Fu Rong Hai,China,48.1,S481FRH2017-18,55.16,17.68,Jolly and Hampton,,EK60,120,"38, 70",Swarms identification,fixed (-20 to 20),full SDWBA (ASAM 2010 parameterisation),250,day and night,South Shetland Islands,Parallel transects,"Yu et al.,2019",,,CHN,,,
2019,Feb,F/V Fu Rong Hai,China,48.1,S481FRH2018-19,80.74,13.07,Jolly and Hampton,,EK60,120,"38, 70",Swarms identification,fixed (-20 to 20),full SDWBA (ASAM 2010 parameterisation),250,day and night,South Shetland Islands,Parallel transects,"Yu et al.,2019; Wang et al., 2019","As a contribution to the joint effort on the large-scale krill survey in Area 48, 2019",,CHN,,,
1996,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 96A,89.2,21.8,Jolly and Hampton,48231,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,see inset map for schematic display of sampling strata -- Joinville stratum includes the tracklines and stations that are not included in the other three strata,,USA,1.8m IKMT,Non-targeted Oblique,
1996,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 96D,94.7,30,Jolly and Hampton,48231,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1997,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 97A,202.1,29.7,Jolly and Hampton,48231,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1998,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 98A,86.1,13.9,Jolly and Hampton,41673,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1998,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 98D,39.8,24.2,Jolly and Hampton,41673,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1999,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 99A,25,36.1,Jolly and Hampton,41673,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
1999,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 99D,35.7,25,Jolly and Hampton,41673,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2000,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 00D,86.4,21.5,Jolly and Hampton,41673,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2001,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 01A,41.4,16.95,Jolly and Hampton,41673,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2001,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 01D,12.1,21.6,Jolly and Hampton,41673,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2002,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 02A,13.9,39.6,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2002,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 02D,11.7,37.1,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2003,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 03A,54.2,10.6,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2003,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 03D,36.7,17.8,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2004,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 04A,10,20.2,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2004,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 04D,18.1,30.1,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2005,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05A,23,48,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2005,Feb,Yuzhmorgeologia,USA,48.1,U.S. AMLR 05D,16.8,30.2,Jolly and Hampton,43865,EK500,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2006,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 06A,38.6,41.3,Jolly and Hampton,43865,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
2007,Jan,Yuzhmorgeologia,USA,48.1,U.S. AMLR 07A,103.4,42.8,Jolly and Hampton,43865,EK60,120,"38, 200",dB difference (120-38 & 200-120),variable,full SDWBA (ASAM 2010 parameterisation),250,daylight only,Elephant Island,,,,,USA,1.8m IKMT,Non-targeted Oblique,
